epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
81,0.09882017,0.11271890,0.08147789,0.08037750,0.10452822,0.08123119,1.34968528e-01,7.35412930e-01,3.49875819e-01,9.74512907e-02
82,0.09854190,0.11293152,0.08139393,0.08037002,0.10416274,0.08112094,1.35267762e-01,7.28810995e-01,3.46881248e-01,9.75011428e-02
83,0.09810609,0.11237061,0.08125440,0.08027992,0.10365540,0.08100903,1.35409267e-01,7.25696199e-01,3.44411684e-01,9.73712801e-02
84,0.09808140,0.11198899,0.08121519,0.07999859,0.10352584,0.08088393,1.35045864e-01,7.17487669e-01,3.40737764e-01,9.73141062e-02
85,0.09753896,0.11268507,0.08101307,0.08028674,0.10288158,0.08080377,1.35596873e-01,7.10632259e-01,3.37636874e-01,9.67938132e-02
86,0.09731455,0.11265053,0.08093437,0.08018302,0.10256452,0.08071742,1.35740905e-01,7.02734114e-01,3.34794980e-01,9.65457759e-02
87,0.09726176,0.11263314,0.08090125,0.08014890,0.10243511,0.08063135,1.36199704e-01,7.00133107e-01,3.30943205e-01,9.66253163e-02
88,0.09697772,0.11187085,0.08078356,0.08007202,0.10206544,0.08055220,1.36164287e-01,6.94729133e-01,3.28007345e-01,9.62491037e-02
89,0.09648318,0.11166044,0.08060674,0.07993487,0.10150042,0.08046861,1.36606986e-01,6.92298039e-01,3.24376759e-01,9.62262284e-02
90,0.09637492,0.11193897,0.08055599,0.08002264,0.10129431,0.08039555,1.36420160e-01,6.83506103e-01,3.20816824e-01,9.60791389e-02
91,0.09611889,0.11068767,0.08047004,0.07979413,0.10095457,0.08031050,1.36853132e-01,6.79021700e-01,3.17937967e-01,9.56648090e-02
92,0.09581443,0.11086905,0.08033367,0.07962535,0.10058523,0.08021788,1.36804312e-01,6.75974688e-01,3.14937703e-01,9.57824772e-02
93,0.09550241,0.11095208,0.08024016,0.07967700,0.10017090,0.08014751,1.37267401e-01,6.67785622e-01,3.10649842e-01,9.54175381e-02
94,0.09546744,0.11092318,0.08025127,0.07964991,0.10005894,0.08007767,1.36820539e-01,6.62489817e-01,3.07008008e-01,9.55766045e-02
95,0.09511033,0.11049830,0.08005955,0.07963274,0.09962594,0.08001225,1.37497325e-01,6.53749701e-01,3.03831582e-01,9.51099859e-02
96,0.09499344,0.11113567,0.08004419,0.07953501,0.09940977,0.07994648,1.37708430e-01,6.45592369e-01,2.99930390e-01,9.50899190e-02
97,0.09495019,0.10997197,0.07999491,0.07933701,0.09927987,0.07986480,1.37303598e-01,6.40959379e-01,2.96886907e-01,9.49869753e-02
98,0.09474208,0.10995873,0.07995796,0.07939205,0.09899276,0.07979945,1.37728012e-01,6.40852698e-01,2.92993356e-01,9.43639440e-02
99,0.09448200,0.11087359,0.07980180,0.07955326,0.09867268,0.07975366,1.37963550e-01,6.31350209e-01,2.90483281e-01,9.41206462e-02
100,0.09432629,0.11028536,0.07974527,0.07946120,0.09845505,0.07970807,1.38170001e-01,6.26536435e-01,2.87928373e-01,9.41102786e-02
101,0.09396192,0.11064684,0.07963203,0.07965043,0.09800220,0.07967896,1.38159898e-01,6.21931154e-01,2.83137963e-01,9.39347523e-02
102,0.09409696,0.11032068,0.07968025,0.07949818,0.09805188,0.07964010,1.38023120e-01,6.13364665e-01,2.80370197e-01,9.36700496e-02
103,0.09375000,0.11085611,0.07953858,0.07963240,0.09764828,0.07961512,1.38638391e-01,6.08649924e-01,2.77549391e-01,9.34867457e-02
104,0.09360554,0.11030707,0.07949701,0.07943604,0.09742904,0.07957570,1.38882916e-01,6.02529744e-01,2.73844832e-01,9.30348741e-02
105,0.09372218,0.11004482,0.07952192,0.07937857,0.09747803,0.07953826,1.38549677e-01,5.97058601e-01,2.71182127e-01,9.30594780e-02
106,0.09322720,0.11049830,0.07930552,0.07938259,0.09691933,0.07950278,1.39365389e-01,5.88536208e-01,2.67774645e-01,9.28064606e-02
107,0.09326480,0.10990201,0.07933387,0.07950886,0.09687231,0.07948357,1.38843869e-01,5.82713794e-01,2.64298294e-01,9.27992086e-02
108,0.09298376,0.11034459,0.07921072,0.07952741,0.09654683,0.07946661,1.39168172e-01,5.79333099e-01,2.61978561e-01,9.26051634e-02
109,0.09304084,0.11043580,0.07926452,0.07954827,0.09652920,0.07945727,1.39141432e-01,5.72131706e-01,2.57840162e-01,9.23775774e-02
110,0.09287015,0.10974133,0.07916465,0.07927920,0.09630072,0.07942283,1.39519005e-01,5.67156554e-01,2.54808819e-01,9.20719459e-02
111,0.09279867,0.10969569,0.07914521,0.07939044,0.09616323,0.07940363,1.39344170e-01,5.59416826e-01,2.52415168e-01,9.17409602e-02
112,0.09263641,0.11006459,0.07905603,0.07953814,0.09595291,0.07939465,1.39640621e-01,5.55315926e-01,2.50125882e-01,9.14192439e-02
113,0.09239925,0.10975755,0.07900356,0.07942899,0.09566173,0.07938367,1.40007599e-01,5.54171850e-01,2.46730977e-01,9.13901377e-02
114,0.09234417,0.10964812,0.07898302,0.07932320,0.09555671,0.07936063,1.39478984e-01,5.46262123e-01,2.44955068e-01,9.12351919e-02
115,0.09219708,0.10963296,0.07889437,0.07932456,0.09536050,0.07934007,1.40252506e-01,5.40772679e-01,2.42045196e-01,9.09779873e-02
116,0.09216032,0.10995760,0.07888240,0.07925819,0.09526248,0.07931568,1.39861140e-01,5.34956861e-01,2.39234924e-01,9.05304941e-02
117,0.09211136,0.10959791,0.07890427,0.07931381,0.09515184,0.07929948,1.39942394e-01,5.31932535e-01,2.35865884e-01,9.05517901e-02
118,0.09190759,0.11014834,0.07878706,0.07949791,0.09490493,0.07930232,1.40174305e-01,5.26825400e-01,2.33587574e-01,9.03244314e-02
119,0.09174974,0.10927776,0.07876090,0.07926045,0.09469548,0.07928395,1.40552894e-01,5.20876107e-01,2.30746880e-01,8.98895675e-02
