epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
111,0.09696779,0.12004776,0.08047879,0.08323209,0.10422977,1.46121550e-01,5.49970775e-01,2.66548853e-01,1.00198996e-01
112,0.09656282,0.11970821,0.08035486,0.08300021,0.10384958,1.45699447e-01,5.53313617e-01,2.66786162e-01,9.99680161e-02
113,0.09644414,0.11923468,0.08029462,0.08288955,0.10374194,1.45606158e-01,5.50517170e-01,2.67778692e-01,9.98307863e-02
114,0.09600578,0.11993307,0.08013056,0.08315671,0.10329370,1.46077699e-01,5.53380946e-01,2.67135410e-01,9.97002255e-02
115,0.09556735,0.11853800,0.07998120,0.08263642,0.10289381,1.46397188e-01,5.53658868e-01,2.68158658e-01,9.96545629e-02
116,0.09538940,0.11927871,0.07991664,0.08299960,0.10270509,1.46630687e-01,5.51032380e-01,2.68190046e-01,9.94286670e-02
117,0.09500126,0.11868658,0.07977647,0.08257385,0.10230865,1.46686207e-01,5.54111364e-01,2.67828691e-01,9.88867828e-02
118,0.09482770,0.11873866,0.07971482,0.08269102,0.10214802,1.46638948e-01,5.55559957e-01,2.67784043e-01,9.91463297e-02
119,0.09442187,0.11855254,0.07958507,0.08265284,0.10170330,1.46833077e-01,5.51935829e-01,2.67814527e-01,9.88432495e-02
120,0.09407679,0.11866660,0.07941945,0.08236687,0.10138082,1.47072412e-01,5.54304941e-01,2.68094220e-01,9.85976413e-02
121,0.09374742,0.11792858,0.07931152,0.08241114,0.10106691,1.47414741e-01,5.54980599e-01,2.68431020e-01,9.85016390e-02
122,0.09349478,0.11754602,0.07921845,0.08241501,0.10079399,1.47481632e-01,5.56674177e-01,2.67638171e-01,9.82820517e-02
123,0.09337062,0.11714717,0.07917948,0.08220721,0.10065534,1.47221740e-01,5.55487384e-01,2.67891218e-01,9.82406184e-02
124,0.09297777,0.11793415,0.07905275,0.08245088,0.10025486,1.47695852e-01,5.56696947e-01,2.67127488e-01,9.81665220e-02
125,0.09284555,0.11732938,0.07899121,0.08237171,0.10008088,1.47558061e-01,5.52646851e-01,2.66519261e-01,9.81120860e-02
126,0.09253562,0.11712477,0.07885893,0.08211176,0.09976228,1.47811727e-01,5.55141680e-01,2.66095564e-01,9.78130107e-02
127,0.09239121,0.11738718,0.07884214,0.08229968,0.09959295,1.47864167e-01,5.51626754e-01,2.66115422e-01,9.75335567e-02
128,0.09209836,0.11595638,0.07873004,0.08177505,0.09927204,1.47907526e-01,5.52026685e-01,2.65313597e-01,9.72815125e-02
129,0.09197474,0.11598287,0.07865353,0.08182854,0.09912017,1.48153429e-01,5.51138420e-01,2.64529017e-01,9.72661150e-02
130,0.09161466,0.11652019,0.07851615,0.08196426,0.09872335,1.48154353e-01,5.49416850e-01,2.63860399e-01,9.71817250e-02
131,0.09113878,0.11666664,0.07833419,0.08225837,0.09826277,1.48930417e-01,5.52513350e-01,2.63722321e-01,9.66189590e-02
132,0.09106201,0.11595136,0.07831638,0.08192825,0.09816551,1.48853845e-01,5.50924554e-01,2.63341808e-01,9.68115237e-02
133,0.09077623,0.11699439,0.07822033,0.08217860,0.09782244,1.48929869e-01,5.49356978e-01,2.61745230e-01,9.65983010e-02
134,0.09072571,0.11591926,0.07821688,0.08182027,0.09775041,1.48949885e-01,5.48624830e-01,2.61237092e-01,9.64463045e-02
135,0.09045157,0.11582597,0.07809273,0.08186682,0.09743947,1.49176543e-01,5.45760520e-01,2.60762765e-01,9.60352355e-02
136,0.09037552,0.11625434,0.07805720,0.08204450,0.09733708,1.49266945e-01,5.44771854e-01,2.60182393e-01,9.59458529e-02
137,0.08994033,0.11502386,0.07793169,0.08179652,0.09687469,1.49909964e-01,5.46424509e-01,2.58509248e-01,9.59094917e-02
138,0.08984691,0.11590286,0.07787329,0.08187182,0.09674736,1.49425297e-01,5.45220731e-01,2.58078394e-01,9.55233695e-02
139,0.08959861,0.11524690,0.07777430,0.08168032,0.09645067,1.49850477e-01,5.43339381e-01,2.57195440e-01,9.53771319e-02
140,0.08960313,0.11558998,0.07778254,0.08183922,0.09641559,1.50081232e-01,5.41927632e-01,2.56032945e-01,9.52125449e-02
141,0.08910676,0.11520358,0.07758625,0.08172759,0.09591441,1.50392378e-01,5.41420835e-01,2.55594548e-01,9.48503142e-02
142,0.08899859,0.11512568,0.07755261,0.08163655,0.09575061,1.50446183e-01,5.40117670e-01,2.53829764e-01,9.50158388e-02
143,0.08879051,0.11430368,0.07747466,0.08147822,0.09551517,1.50338305e-01,5.37906853e-01,2.53714512e-01,9.46663037e-02
144,0.08867514,0.11488400,0.07739912,0.08173437,0.09536273,1.50806102e-01,5.35929542e-01,2.52472593e-01,9.44372205e-02
145,0.08857182,0.11465221,0.07736592,0.08161557,0.09519687,1.50701938e-01,5.36336706e-01,2.51231397e-01,9.44482113e-02
146,0.08840820,0.11514708,0.07731860,0.08162548,0.09498935,1.50514760e-01,5.32893510e-01,2.49825376e-01,9.45265145e-02
147,0.08840089,0.11542758,0.07731127,0.08187021,0.09493650,1.50568517e-01,5.32166607e-01,2.48689639e-01,9.41480912e-02
148,0.08813735,0.11446547,0.07719850,0.08153780,0.09463863,1.51139327e-01,5.29059246e-01,2.47738316e-01,9.39525831e-02
149,0.08790922,0.11539081,0.07714281,0.08178380,0.09436327,1.51201547e-01,5.27291170e-01,2.46931817e-01,9.33780752e-02
150,0.08768284,0.11458037,0.07707834,0.08160786,0.09409822,1.51032271e-01,5.27588836e-01,2.45170646e-01,9.35343236e-02
151,0.08762960,0.11443903,0.07700074,0.08152330,0.09401848,1.51494145e-01,5.25080255e-01,2.44435505e-01,9.34039032e-02
152,0.08730304,0.11483033,0.07687176,0.08160964,0.09364840,1.51614569e-01,5.22951305e-01,2.43469290e-01,9.30219851e-02
153,0.08729613,0.11483237,0.07688041,0.08170730,0.09358646,1.51773405e-01,5.20471584e-01,2.42052009e-01,9.28862951e-02
154,0.08718143,0.11477126,0.07684920,0.08157319,0.09343445,1.51966158e-01,5.20310101e-01,2.40705802e-01,9.27275991e-02
155,0.08702203,0.11402981,0.07677450,0.08146106,0.09321428,1.52044349e-01,5.17669751e-01,2.39809426e-01,9.24491559e-02
156,0.08701135,0.11437631,0.07676567,0.08158463,0.09318613,1.52049117e-01,5.13674487e-01,2.39291140e-01,9.23308077e-02
157,0.08676722,0.11397876,0.07668291,0.08132698,0.09288896,1.52322863e-01,5.15793546e-01,2.37480538e-01,9.21136174e-02
158,0.08666718,0.11461850,0.07666399,0.08152227,0.09274767,1.52254281e-01,5.11126754e-01,2.36661956e-01,9.20597444e-02
159,0.08666585,0.11451967,0.07663424,0.08153685,0.09269672,1.52334078e-01,5.11029812e-01,2.35158841e-01,9.19167471e-02
160,0.08648253,0.11480851,0.07657770,0.08165370,0.09246016,1.52679286e-01,5.06380562e-01,2.33673079e-01,9.15222676e-02
161,0.08633482,0.11453811,0.07647351,0.08146369,0.09226422,1.52685914e-01,5.06900684e-01,2.32317736e-01,9.14332456e-02
162,0.08607531,0.11486619,0.07642408,0.08162570,0.09198870,1.52907785e-01,5.03464851e-01,2.31614896e-01,9.13855945e-02
163,0.08589996,0.11455011,0.07633762,0.08152863,0.09175376,1.53132711e-01,5.02526632e-01,2.30169745e-01,9.11757732e-02
164,0.08584576,0.11470769,0.07633157,0.08161007,0.09166260,1.53356685e-01,5.00308352e-01,2.28917885e-01,9.09419105e-02
165,0.08584794,0.11428567,0.07633026,0.08161808,0.09163287,1.53316388e-01,4.99628034e-01,2.28142500e-01,9.06477993e-02
166,0.08583458,0.11439950,0.07630289,0.08148119,0.09156533,1.53377274e-01,4.96075356e-01,2.26803414e-01,9.06674378e-02
167,0.08563981,0.11424569,0.07624859,0.08160186,0.09133020,1.53487682e-01,4.92848777e-01,2.25940101e-01,9.06025805e-02
168,0.08550106,0.11448862,0.07621156,0.08148778,0.09114789,1.53518105e-01,4.93239186e-01,2.24198031e-01,9.04102179e-02
169,0.08527871,0.11466391,0.07611555,0.08164704,0.09088165,1.54034756e-01,4.91719038e-01,2.23148907e-01,8.99490180e-02
170,0.08524045,0.11438575,0.07607553,0.08176210,0.09079909,1.53961815e-01,4.86008046e-01,2.21928059e-01,8.97623543e-02
171,0.08508796,0.11469196,0.07602550,0.08177296,0.09060576,1.53906858e-01,4.85577829e-01,2.20575202e-01,8.98048735e-02
172,0.08500353,0.11515257,0.07595163,0.08184590,0.09049943,1.54342714e-01,4.85930799e-01,2.19796654e-01,8.96128871e-02
173,0.08488737,0.11465348,0.07594441,0.08159410,0.09032821,1.54182070e-01,4.80785623e-01,2.18599067e-01,8.91034681e-02
174,0.08468250,0.11422643,0.07584817,0.08153866,0.09008128,1.54442990e-01,4.79845773e-01,2.17317165e-01,8.90352942e-02
175,0.08481880,0.11478525,0.07590743,0.08180201,0.09018012,1.54136330e-01,4.77529350e-01,2.16393254e-01,8.89938679e-02
176,0.08460031,0.11565379,0.07583546,0.08190414,0.08992156,1.54716836e-01,4.75655921e-01,2.15373001e-01,8.88354192e-02
177,0.08468002,0.11495577,0.07588402,0.08168992,0.08994861,1.54473792e-01,4.71662662e-01,2.13745597e-01,8.86231881e-02
178,0.08434480,0.11525741,0.07571537,0.08178876,0.08958892,1.54809521e-01,4.70624542e-01,2.12981133e-01,8.84654316e-02
179,0.08447957,0.11467954,0.07578275,0.08157093,0.08967236,1.55027972e-01,4.67332656e-01,2.11572713e-01,8.83503560e-02
180,0.08428941,0.11547823,0.07570798,0.08190425,0.08943530,1.54879163e-01,4.66714928e-01,2.10093006e-01,8.82347691e-02
181,0.08434845,0.11461116,0.07572629,0.08150341,0.08946616,1.54776721e-01,4.65540019e-01,2.09313373e-01,8.78013362e-02
