epoch,train_loss,val_loss,train_rmse,val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
135,0.09994601,0.09944126,0.31065394,0.07532781,1.25241269e-01,1.07237427e-01,8.07050545e-02,2.87465097e-02
136,0.10024036,0.09963331,0.31110961,0.07548179,1.25358525e-01,1.07648862e-01,8.06313823e-02,2.88151927e-02
137,0.10020516,0.10009038,0.31102687,0.07540533,1.25481014e-01,1.08507124e-01,8.08491893e-02,2.89717563e-02
138,0.10005456,0.09912850,0.31078534,0.07537814,1.25595012e-01,1.08032248e-01,8.07708375e-02,2.88767774e-02
139,0.10013400,0.09981293,0.31092388,0.07562604,1.25113397e-01,1.08563317e-01,8.06806832e-02,2.88272136e-02
140,0.10000332,0.09952372,0.31069960,0.07558431,1.25420487e-01,1.08366911e-01,8.06772309e-02,2.87597639e-02
141,0.09986120,0.09946809,0.31047903,0.07538338,1.25584245e-01,1.08028697e-01,8.06307435e-02,2.87303837e-02
142,0.09968772,0.09873735,0.31015712,0.07516095,1.25887195e-01,1.09121945e-01,8.05626402e-02,2.89138226e-02
143,0.09965864,0.09910209,0.31013851,0.07513324,1.25537665e-01,1.08265378e-01,8.06298424e-02,2.90062057e-02
144,0.09956756,0.09942902,0.30999391,0.07533210,1.25612695e-01,1.08159764e-01,8.04623351e-02,2.89106427e-02
145,0.09958188,0.09920164,0.31000906,0.07515728,1.25748943e-01,1.08064612e-01,8.07613700e-02,2.87308730e-02
146,0.09950104,0.09878756,0.30987461,0.07520798,1.25734023e-01,1.08053025e-01,8.08202566e-02,2.87889795e-02
147,0.09933819,0.09910574,0.30961181,0.07527366,1.25859089e-01,1.08194144e-01,8.05172925e-02,2.89436974e-02
148,0.09943768,0.09924346,0.30977544,0.07533521,1.25811764e-01,1.08466742e-01,8.03783310e-02,2.88458885e-02
149,0.09942453,0.09917808,0.30974478,0.07528598,1.25862902e-01,1.08221826e-01,8.06207543e-02,2.88098257e-02
150,0.09931430,0.09918060,0.30957489,0.07526463,1.25610017e-01,1.08037444e-01,8.06973835e-02,2.89036376e-02
151,0.09947501,0.09913395,0.30980878,0.07531410,1.25980685e-01,1.08721964e-01,8.06152854e-02,2.90347949e-02
152,0.09950487,0.09880762,0.30984512,0.07518432,1.25927168e-01,1.09345591e-01,8.05697587e-02,2.90266279e-02
153,0.09927292,0.09940045,0.30947936,0.07530655,1.25911876e-01,1.08842746e-01,8.07053192e-02,2.90885085e-02
154,0.09939789,0.09962973,0.30967379,0.07522832,1.25904752e-01,1.09076992e-01,8.06075562e-02,2.89142177e-02
155,0.09923698,0.09889672,0.30939755,0.07542248,1.26172453e-01,1.09153348e-01,8.07011212e-02,2.90825348e-02
156,0.09904533,0.09903374,0.30909538,0.07529061,1.26130595e-01,1.08510542e-01,8.07402716e-02,2.89341263e-02
157,0.09894205,0.09901369,0.30889512,0.07525828,1.26125386e-01,1.09955121e-01,8.07800755e-02,2.88781881e-02
158,0.09906999,0.09903777,0.30912842,0.07529760,1.26198188e-01,1.08735896e-01,8.08471227e-02,2.90158915e-02
159,0.09892474,0.09885499,0.30886910,0.07525437,1.26206888e-01,1.09730352e-01,8.07991061e-02,2.90375306e-02
160,0.09883491,0.09878956,0.30870635,0.07529299,1.26444652e-01,1.09846759e-01,8.08848790e-02,2.89205245e-02
161,0.09867184,0.09851837,0.30846530,0.07505091,1.26403065e-01,1.08815073e-01,8.07373985e-02,2.90844195e-02
162,0.09868897,0.09888848,0.30850108,0.07516975,1.26121998e-01,1.08557782e-01,8.10210978e-02,2.90432990e-02
163,0.09874954,0.09862623,0.30858495,0.07516274,1.26244777e-01,1.09345258e-01,8.08455413e-02,2.88515705e-02
164,0.09877502,0.09876263,0.30864552,0.07520699,1.25967934e-01,1.08914811e-01,8.07885120e-02,2.90491410e-02
165,0.09878114,0.09875481,0.30865621,0.07519945,1.26098131e-01,1.08966821e-01,8.07690396e-02,2.88998003e-02
166,0.09885876,0.09883666,0.30876019,0.07533346,1.26186466e-01,1.09721152e-01,8.06256877e-02,2.90825376e-02
167,0.09901744,0.09819040,0.30901537,0.07508752,1.26009697e-01,1.09843518e-01,8.06015521e-02,2.90567094e-02
168,0.09862430,0.09923872,0.30834958,0.07546601,1.26413520e-01,1.10499922e-01,8.05841637e-02,2.91985862e-02
169,0.09877141,0.09861331,0.30861685,0.07507526,1.26289404e-01,1.09429711e-01,8.06550971e-02,2.92786004e-02
170,0.09870720,0.09878622,0.30848118,0.07503874,1.26282705e-01,1.10182153e-01,8.07365872e-02,2.93131834e-02
171,0.09843230,0.09849320,0.30803786,0.07517687,1.26434392e-01,1.10043838e-01,8.05451545e-02,2.92772239e-02
172,0.09860525,0.09842178,0.30831986,0.07527724,1.26278888e-01,1.10070765e-01,8.06588108e-02,2.91651566e-02
173,0.09831413,0.09887420,0.30785495,0.07523825,1.26350144e-01,1.09515642e-01,8.05672200e-02,2.92043128e-02
174,0.09824839,0.09823038,0.30772704,0.07514237,1.26330023e-01,1.10033371e-01,8.07215147e-02,2.93653134e-02
175,0.09828428,0.09828131,0.30779490,0.07528228,1.26372338e-01,1.09897804e-01,8.07431271e-02,2.93751394e-02
176,0.09823592,0.09834181,0.30770248,0.07510966,1.26551650e-01,1.09880281e-01,8.06558666e-02,2.93947676e-02
177,0.09814971,0.09853598,0.30758313,0.07519719,1.26471639e-01,1.09370024e-01,8.07270562e-02,2.92767630e-02
178,0.09802882,0.09842608,0.30736988,0.07514746,1.26706763e-01,1.09485912e-01,8.07481502e-02,2.91524380e-02
179,0.09816724,0.09837207,0.30760815,0.07513609,1.26418357e-01,1.09499150e-01,8.06697982e-02,2.91488460e-02
180,0.09807667,0.09840253,0.30746059,0.07514098,1.26547508e-01,1.09349472e-01,8.05986062e-02,2.92155252e-02
181,0.09837081,0.09843027,0.30791860,0.07522929,1.26510942e-01,1.10342843e-01,8.06044940e-02,2.95152881e-02
182,0.09835349,0.09861119,0.30788851,0.07531496,1.26503069e-01,1.10270930e-01,8.06283924e-02,2.95994728e-02
183,0.09808826,0.09867690,0.30742382,0.07517142,1.26714845e-01,1.11058874e-01,8.05524317e-02,2.94749389e-02
184,0.09813702,0.09834319,0.30750840,0.07512083,1.26719402e-01,1.11082097e-01,8.06857888e-02,2.93220232e-02
185,0.09817619,0.09848386,0.30759502,0.07512875,1.26604269e-01,1.10630079e-01,8.05974712e-02,2.93117255e-02
186,0.09809515,0.09817587,0.30744828,0.07505327,1.26704978e-01,1.10929724e-01,8.04883490e-02,2.94749351e-02
187,0.09796834,0.09854271,0.30725201,0.07512597,1.26445705e-01,1.10558667e-01,8.05498436e-02,2.92106272e-02
188,0.09781730,0.09846376,0.30697116,0.07523026,1.26454355e-01,1.11146598e-01,8.06911478e-02,2.93944017e-02
189,0.09783879,0.09828459,0.30702812,0.07509003,1.27000540e-01,1.09818075e-01,8.05168803e-02,2.95769035e-02
190,0.09772435,0.09858068,0.30682607,0.07517448,1.26749297e-01,1.11026968e-01,8.05091579e-02,2.95639593e-02
191,0.09782321,0.09838689,0.30700247,0.07513808,1.26671069e-01,1.10647383e-01,8.04866344e-02,2.96155823e-02
192,0.09749818,0.09846547,0.30643023,0.07517520,1.27193822e-01,1.11076258e-01,8.06783774e-02,2.94886959e-02
193,0.09769247,0.09834134,0.30677906,0.07511431,1.26905945e-01,1.10407200e-01,8.05425981e-02,2.94093997e-02
194,0.09767029,0.09831550,0.30674736,0.07512179,1.26714292e-01,1.10679808e-01,8.06525541e-02,2.94162219e-02
195,0.09765653,0.09830635,0.30672334,0.07511461,1.26886486e-01,1.10623997e-01,8.05365210e-02,2.94213651e-02
196,0.09793432,0.09836069,0.30716275,0.07511631,1.26751493e-01,1.11246318e-01,8.05428916e-02,2.96550773e-02
197,0.09778427,0.09823717,0.30692023,0.07517882,1.26898714e-01,1.10706921e-01,8.05149623e-02,2.95333310e-02
198,0.09785212,0.09854852,0.30702100,0.07530655,1.26735011e-01,1.11509020e-01,8.05586936e-02,2.96857448e-02
199,0.09776981,0.09811796,0.30686662,0.07504739,1.26667923e-01,1.11895178e-01,8.06201585e-02,2.95558725e-02
