epoch,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
360,0.149971,0.246545,0.11422,0.0638209
361,0.150211,0.247104,0.114053,0.0638822
362,0.150362,0.244377,0.114027,0.0636415
363,0.14986,0.24579,0.113708,0.0635981
364,0.150188,0.244292,0.113657,0.0635217
365,0.150329,0.24224,0.113288,0.0633775
366,0.150089,0.242785,0.113486,0.0630578
367,0.150495,0.244434,0.113509,0.0629352
368,0.150314,0.24267,0.112763,0.0631208
369,0.150246,0.241149,0.113094,0.0632438
370,0.150628,0.241148,0.112943,0.0627771
371,0.150388,0.240795,0.11256,0.0627448
372,0.150506,0.240389,0.112157,0.0631654
373,0.150573,0.24025,0.111906,0.0625609
374,0.150326,0.240195,0.111957,0.0627133
375,0.1507,0.238498,0.111964,0.0624132
376,0.150109,0.23689,0.111762,0.0622554
377,0.150402,0.239334,0.111586,0.0621533
378,0.150728,0.237773,0.111611,0.062068
379,0.150234,0.23724,0.111639,0.0621324
380,0.150213,0.236906,0.111345,0.0617899
381,0.150862,0.235856,0.111343,0.0617207
382,0.150396,0.235692,0.111164,0.061854
383,0.150249,0.235024,0.110894,0.0613409
384,0.15035,0.234364,0.111075,0.0612258
385,0.150837,0.233746,0.110785,0.0613546
386,0.150837,0.235654,0.110583,0.0612693
387,0.150364,0.235119,0.110671,0.0612892
388,0.150788,0.234823,0.110657,0.060874
389,0.150325,0.234088,0.110663,0.0608809
390,0.150909,0.234236,0.110347,0.0610646
391,0.15077,0.234253,0.109965,0.0610377
392,0.150443,0.233322,0.10983,0.0610108
393,0.150783,0.232562,0.109791,0.0609745
394,0.150216,0.231321,0.109551,0.0611823
395,0.150571,0.2321,0.109736,0.0606316
396,0.15072,0.230968,0.10996,0.0603911
397,0.150553,0.230824,0.10944,0.0607832
398,0.150306,0.231051,0.10926,0.0606204
399,0.150892,0.230345,0.109423,0.0604222
400,0.150543,0.230369,0.10917,0.0604398
401,0.15049,0.23064,0.109087,0.0603347
402,0.150577,0.228755,0.108982,0.0599928
