architecture,epoch,train_rmse,val_rmse,overfit_gap
FNN,263,0.0654853,0.0846616,0.0191762
FNN,264,0.0651901,0.0849754,0.0197853
FNN,265,0.0652287,0.0839792,0.0187505
FNN,266,0.0651393,0.0842103,0.019071
FNN,267,0.0649911,0.0840357,0.0190446
FNN,268,0.0650883,0.0841971,0.0191088
FNN,269,0.0651627,0.0841364,0.0189737
FNN,270,0.0649491,0.084189,0.0192398
FNN,271,0.0654036,0.0846469,0.0192434
FNN,272,0.0656066,0.0846484,0.0190418
FNN,273,0.0655607,0.084552,0.0189913
FNN,274,0.0654183,0.0843175,0.0188993
FNN,275,0.0653454,0.0849718,0.0196264
FNN,276,0.0651687,0.0842557,0.019087
FNN,277,0.0652249,0.0845267,0.0193018
FNN,278,0.0649629,0.0840133,0.0190504
FNN,279,0.0649342,0.084401,0.0194668
FNN,280,0.0648771,0.0845588,0.0196817
FNN,281,0.0646246,0.0845653,0.0199407
FNN,282,0.0646414,0.0844702,0.0198288
FNN,283,0.0645325,0.0842345,0.019702
FNN,284,0.0644972,0.0841534,0.0196562
FNN,285,0.0645233,0.0842041,0.0196808
FNN,286,0.0651855,0.0846271,0.0194417
FNN,287,0.065162,0.0845505,0.0193885
FNN,288,0.0650832,0.0845736,0.0194904
FNN,289,0.0651274,0.0845178,0.0193904
FNN,290,0.064878,0.0843084,0.0194304
FNN,291,0.0648997,0.0844322,0.0195325
FNN,292,0.0646582,0.084178,0.0195198
FNN,293,0.0646698,0.0844846,0.0198148
FNN,294,0.0646438,0.0839392,0.0192954
FNN,295,0.0644692,0.0842566,0.0197874
Physics-Reg.,1,0.261735,0.127924,-0.133811
Physics-Reg.,2,0.18899,0.113599,-0.0753915
Physics-Reg.,3,0.166961,0.107082,-0.059879
Physics-Reg.,4,0.15588,0.105,-0.0508796
Physics-Reg.,5,0.147538,0.102076,-0.0454616
Physics-Reg.,6,0.142497,0.100855,-0.041642
Physics-Reg.,7,0.137435,0.0995404,-0.0378949
Physics-Reg.,8,0.134482,0.0993823,-0.0350998
Physics-Reg.,9,0.132735,0.0987642,-0.0339707
Physics-Reg.,10,0.130873,0.0981811,-0.0326918
Physics-Reg.,11,0.129308,0.0975687,-0.0317393
Physics-Reg.,12,0.128608,0.0973868,-0.0312209
Physics-Reg.,13,0.128454,0.0972673,-0.0311871
Physics-Reg.,14,0.127613,0.0972412,-0.0303715
Physics-Reg.,15,0.127829,0.0972059,-0.0306234
