epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
90,0.11041546,0.11935300,0.08702717,0.08364009,0.11059527,0.09018731,0.08369796,1.27352588e-01,1.85189055e-01,1.30848341e-01,3.40018357e-02
91,0.11051638,0.11936093,0.08707365,0.08363236,0.11069837,0.09028533,0.08368835,1.28003100e-01,1.84218636e-01,1.31475918e-01,3.38606181e-02
92,0.11007808,0.11929242,0.08687119,0.08353070,0.11026054,0.09027639,0.08366895,1.28849113e-01,1.83745129e-01,1.31626806e-01,3.37765984e-02
93,0.11021038,0.11919213,0.08691167,0.08356172,0.11039067,0.09017372,0.08365647,1.27416322e-01,1.85563126e-01,1.31004171e-01,3.39539826e-02
94,0.11006142,0.11928927,0.08691184,0.08355352,0.11024376,0.09028371,0.08364366,1.29367076e-01,1.85437986e-01,1.31093812e-01,3.39815792e-02
95,0.10967662,0.11922482,0.08677002,0.08352529,0.10986039,0.09015733,0.08362991,1.30004096e-01,1.86510023e-01,1.31088655e-01,3.34497308e-02
96,0.10992812,0.11905402,0.08685266,0.08342058,0.11011144,0.09017388,0.08360646,1.28384005e-01,1.86339711e-01,1.32249622e-01,3.32739721e-02
97,0.11033479,0.11896955,0.08695437,0.08347462,0.11051756,0.09005658,0.08359033,1.29114160e-01,1.85272385e-01,1.31407228e-01,3.36537124e-02
98,0.10961282,0.11896804,0.08680288,0.08349729,0.10979703,0.09023501,0.08357869,1.29364746e-01,1.86625680e-01,1.32031640e-01,3.38232951e-02
99,0.10980798,0.11899513,0.08676159,0.08346436,0.10999115,0.09018289,0.08356452,1.29711112e-01,1.85180663e-01,1.31493938e-01,3.32597511e-02
100,0.10936212,0.11904422,0.08664345,0.08350333,0.10954586,0.09008190,0.08355556,1.29303982e-01,1.87073477e-01,1.31844789e-01,3.31825736e-02
101,0.10959650,0.11908379,0.08677277,0.08349227,0.10978092,0.09005418,0.08354661,1.29508586e-01,1.88067597e-01,1.31771428e-01,3.39520771e-02
102,0.10916639,0.11909043,0.08661933,0.08354833,0.10935009,0.09005638,0.08354460,1.29036138e-01,1.87781080e-01,1.31816149e-01,3.31624183e-02
103,0.10913647,0.11901872,0.08663049,0.08349104,0.10932188,0.09003777,0.08353643,1.30017198e-01,1.88721904e-01,1.31846023e-01,3.32296368e-02
104,0.10921990,0.11890562,0.08662912,0.08348888,0.10940438,0.09013973,0.08352966,1.29679802e-01,1.88506998e-01,1.32111442e-01,3.27322079e-02
105,0.10874090,0.11893377,0.08648174,0.08351965,0.10892631,0.09003611,0.08352623,1.30408415e-01,1.86627562e-01,1.31895671e-01,3.28586479e-02
106,0.10887160,0.11876241,0.08652641,0.08338310,0.10905767,0.08997153,0.08351042,1.30819827e-01,1.86063207e-01,1.32349566e-01,3.33387714e-02
107,0.10852127,0.11885684,0.08636509,0.08343350,0.10870582,0.09003916,0.08350094,1.30101803e-01,1.87809614e-01,1.31959040e-01,3.37053260e-02
108,0.10869429,0.11878895,0.08638885,0.08338146,0.10888065,0.09001731,0.08348586,1.30812615e-01,1.88740190e-01,1.32523661e-01,3.31084181e-02
109,0.10875709,0.11864336,0.08645747,0.08339252,0.10894321,0.08992898,0.08347412,1.30500979e-01,1.86050742e-01,1.32523197e-01,3.30910728e-02
110,0.10894471,0.11872117,0.08646201,0.08334143,0.10912983,0.08981930,0.08345907,1.30023732e-01,1.86872548e-01,1.32445923e-01,3.33368412e-02
111,0.10880051,0.11879141,0.08645746,0.08335497,0.10898664,0.08986189,0.08344635,1.30419940e-01,1.88561007e-01,1.32621653e-01,3.26112085e-02
112,0.10839507,0.11867572,0.08637120,0.08337810,0.10857972,0.08987599,0.08343693,1.29230680e-01,1.87531650e-01,1.32703001e-01,3.30811378e-02
113,0.10858436,0.11867367,0.08634003,0.08330931,0.10877252,0.08997509,0.08342190,1.32260075e-01,1.87503427e-01,1.32776819e-01,3.25377326e-02
114,0.10825253,0.11871860,0.08625566,0.08335813,0.10844052,0.09001917,0.08341349,1.31021945e-01,1.87950188e-01,1.33176042e-01,3.19367825e-02
115,0.10817206,0.11876865,0.08626281,0.08342340,0.10835908,0.08995154,0.08341227,1.30605620e-01,1.90323765e-01,1.32874581e-01,3.25751173e-02
116,0.10849943,0.11889075,0.08637680,0.08343778,0.10868792,0.08999431,0.08341226,1.31003347e-01,1.91575769e-01,1.33111475e-01,3.26935800e-02
117,0.10801355,0.11883038,0.08621157,0.08341434,0.10820212,0.08992293,0.08340957,1.31074236e-01,1.90600060e-01,1.32901059e-01,3.22893811e-02
118,0.10844850,0.11886887,0.08634880,0.08343667,0.10863422,0.08992500,0.08340953,1.30596123e-01,1.89338166e-01,1.32550907e-01,3.24440759e-02
119,0.10827264,0.11871151,0.08627992,0.08341511,0.10846081,0.08989727,0.08340697,1.30774532e-01,1.90552585e-01,1.33262442e-01,3.22741032e-02
120,0.10811141,0.11864262,0.08622336,0.08341519,0.10829886,0.08992502,0.08340578,1.31466540e-01,1.89759442e-01,1.33026500e-01,3.24903189e-02
121,0.10784818,0.11863738,0.08612886,0.08329841,0.10803641,0.08979052,0.08339282,1.31858758e-01,1.88941087e-01,1.32937948e-01,3.21548582e-02
122,0.10788134,0.11864657,0.08627971,0.08338904,0.10806973,0.08982931,0.08338989,1.31707868e-01,1.88734704e-01,1.33292683e-01,3.21468909e-02
123,0.10800622,0.11862549,0.08620124,0.08333555,0.10819427,0.08981906,0.08338209,1.31271860e-01,1.89194792e-01,1.33061618e-01,3.20415924e-02
124,0.10806612,0.11853108,0.08614021,0.08332974,0.10825420,0.08970854,0.08337480,1.31340645e-01,1.89508319e-01,1.33177278e-01,3.20606275e-02
125,0.10745658,0.11841564,0.08599141,0.08334928,0.10764573,0.08978548,0.08337027,1.31961614e-01,1.89347958e-01,1.33374010e-01,3.20362707e-02
126,0.10789967,0.11859211,0.08615333,0.08341671,0.10808888,0.08981071,0.08337249,1.31729707e-01,1.90387676e-01,1.33297457e-01,3.21441959e-02
127,0.10720691,0.11870723,0.08590644,0.08337470,0.10739689,0.08982877,0.08337043,1.32771962e-01,1.90653185e-01,1.33492586e-01,3.22587016e-02
128,0.10766342,0.11859321,0.08613255,0.08335715,0.10785172,0.08977556,0.08336708,1.31561714e-01,1.91028287e-01,1.33099999e-01,3.19672170e-02
129,0.10738474,0.11842190,0.08600328,0.08335276,0.10757395,0.08987955,0.08336295,1.32229191e-01,1.90941039e-01,1.33213780e-01,3.23663771e-02
130,0.10729943,0.11830959,0.08600391,0.08331541,0.10748984,0.08985155,0.08335630,1.32503679e-01,1.89326884e-01,1.33227847e-01,3.22470209e-02
131,0.10738089,0.11851808,0.08599600,0.08339157,0.10757156,0.08992681,0.08335780,1.32443126e-01,1.90212125e-01,1.33927989e-01,3.23196804e-02
132,0.10743459,0.11846817,0.08602393,0.08332973,0.10762447,0.08973177,0.08335336,1.32455843e-01,1.89769213e-01,1.33226286e-01,3.24823287e-02
133,0.10742339,0.11850550,0.08598947,0.08335613,0.10761170,0.08982500,0.08335231,1.31112500e-01,1.90501382e-01,1.32911352e-01,3.22686327e-02
134,0.10729499,0.11841759,0.08593674,0.08335260,0.10748417,0.08982270,0.08335065,1.32211904e-01,1.90086987e-01,1.32880697e-01,3.21550447e-02
135,0.10712307,0.11852573,0.08586696,0.08337160,0.10731357,0.08974124,0.08335106,1.32556359e-01,1.90071702e-01,1.33597414e-01,3.19953040e-02
136,0.10740748,0.11849524,0.08599482,0.08335660,0.10759786,0.08982918,0.08335036,1.32260364e-01,1.89856157e-01,1.33459961e-01,3.21750838e-02
