epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
99,0.09632485,0.11692962,0.08027292,0.08212493,0.10593032,0.08285515,1.37193109e-01,3.52232558e-01,1.77735897e-01,9.32308677e-02
100,0.09614584,0.11629280,0.08019005,0.08185936,0.10569155,0.08275011,1.37198555e-01,3.49637143e-01,1.77348930e-01,9.32954722e-02
101,0.09594178,0.11589261,0.08012639,0.08194029,0.10546163,0.08265909,1.37132430e-01,3.49848108e-01,1.77165831e-01,9.29074552e-02
102,0.09549902,0.11584875,0.07997992,0.08164960,0.10499787,0.08255154,1.37203725e-01,3.46910824e-01,1.77418239e-01,9.27350754e-02
103,0.09520511,0.11634539,0.07981127,0.08186273,0.10472323,0.08247079,1.37657770e-01,3.48785415e-01,1.77442954e-01,9.26209313e-02
104,0.09480527,0.11511823,0.07965089,0.08156944,0.10431403,0.08237252,1.37865276e-01,3.50046324e-01,1.77460054e-01,9.21014705e-02
105,0.09441499,0.11454976,0.07950923,0.08144130,0.10390347,0.08226992,1.37808601e-01,3.47859299e-01,1.77093431e-01,9.20297575e-02
106,0.09422465,0.11401545,0.07944157,0.08127448,0.10368504,0.08215833,1.37843874e-01,3.46684681e-01,1.76535643e-01,9.18745080e-02
107,0.09377437,0.11434142,0.07930572,0.08153833,0.10322561,0.08208071,1.38288254e-01,3.48733415e-01,1.76676873e-01,9.13443754e-02
108,0.09361933,0.11482803,0.07920780,0.08138402,0.10299065,0.08199684,1.38443250e-01,3.48106313e-01,1.75316468e-01,9.11073417e-02
109,0.09321835,0.11296604,0.07907668,0.08110982,0.10259446,0.08189150,1.38337074e-01,3.46779201e-01,1.75883935e-01,9.08170864e-02
110,0.09302638,0.11300044,0.07897970,0.08105804,0.10238987,0.08179512,1.38474756e-01,3.47254518e-01,1.75504614e-01,9.07774915e-02
111,0.09263071,0.11322214,0.07882594,0.08106931,0.10195771,0.08170779,1.38896652e-01,3.47695357e-01,1.75097603e-01,9.01358535e-02
112,0.09232150,0.11365575,0.07870691,0.08114780,0.10163643,0.08163558,1.38861605e-01,3.46119182e-01,1.75167905e-01,9.00501746e-02
113,0.09196823,0.11271555,0.07856806,0.08079573,0.10123756,0.08153801,1.39302064e-01,3.46082691e-01,1.74508236e-01,8.98255732e-02
114,0.09166683,0.11273660,0.07844539,0.08083172,0.10092969,0.08145496,1.39292980e-01,3.46744913e-01,1.74262146e-01,8.96853271e-02
115,0.09151450,0.11164796,0.07841271,0.08057035,0.10067701,0.08135273,1.39366048e-01,3.43112663e-01,1.73166633e-01,8.93159735e-02
116,0.09118272,0.11140360,0.07827383,0.08060874,0.10031570,0.08126462,1.39390928e-01,3.43814148e-01,1.72782546e-01,8.90263516e-02
117,0.09099653,0.11177560,0.07815948,0.08055872,0.10011303,0.08117779,1.39652497e-01,3.42168120e-01,1.72416231e-01,8.87047163e-02
118,0.09078936,0.11267968,0.07809086,0.08098608,0.09984797,0.08113914,1.39599778e-01,3.44053345e-01,1.71532980e-01,8.80982726e-02
119,0.09057303,0.11126150,0.07800796,0.08042120,0.09959477,0.08104988,1.40072721e-01,3.40712394e-01,1.71437431e-01,8.79009849e-02
120,0.09026678,0.11173531,0.07792680,0.08064289,0.09926626,0.08098948,1.39942520e-01,3.44128059e-01,1.70711712e-01,8.78536478e-02
121,0.09008574,0.11194367,0.07782184,0.08064508,0.09904305,0.08093796,1.40109178e-01,3.40713756e-01,1.70094437e-01,8.72936795e-02
122,0.08991492,0.11127272,0.07776229,0.08045691,0.09884478,0.08087283,1.40217169e-01,3.39703703e-01,1.69823925e-01,8.72343022e-02
123,0.08962258,0.11104270,0.07763806,0.08057452,0.09846373,0.08081720,1.40300175e-01,3.38459828e-01,1.68395545e-01,8.67477982e-02
124,0.08933516,0.11066178,0.07755636,0.08024982,0.09814250,0.08073976,1.40356135e-01,3.39662261e-01,1.67629345e-01,8.64995616e-02
125,0.08931400,0.11077031,0.07750429,0.08029329,0.09805221,0.08067313,1.40519545e-01,3.34544474e-01,1.67620436e-01,8.61214721e-02
126,0.08914530,0.11030591,0.07743393,0.08028176,0.09783476,0.08061340,1.40434539e-01,3.33646330e-01,1.66140081e-01,8.61478162e-02
127,0.08895902,0.11006543,0.07736793,0.08019356,0.09759514,0.08055148,1.40391457e-01,3.32635096e-01,1.65854052e-01,8.58076926e-02
128,0.08870963,0.10999727,0.07730182,0.08018668,0.09732930,0.08049602,1.40896740e-01,3.33935915e-01,1.65134942e-01,8.52331168e-02
129,0.08847194,0.10967048,0.07718514,0.08016654,0.09703604,0.08044370,1.40952261e-01,3.34475030e-01,1.64275466e-01,8.50534590e-02
130,0.08830867,0.10923485,0.07710842,0.07995517,0.09682329,0.08037720,1.40931523e-01,3.30258604e-01,1.63927377e-01,8.48108461e-02
131,0.08836670,0.11045496,0.07713919,0.08034010,0.09682067,0.08035268,1.41029161e-01,3.28875739e-01,1.63337460e-01,8.41535050e-02
132,0.08795056,0.10975069,0.07698543,0.08007732,0.09634845,0.08030685,1.41047742e-01,3.30012563e-01,1.62174802e-01,8.42037351e-02
133,0.08794666,0.10986808,0.07698000,0.07999956,0.09632045,0.08025809,1.41256602e-01,3.28243077e-01,1.61817265e-01,8.37422336e-02
134,0.08773428,0.10960743,0.07688907,0.08014443,0.09602152,0.08022531,1.41299462e-01,3.24989011e-01,1.61062425e-01,8.32645155e-02
135,0.08749638,0.11041196,0.07679177,0.08037345,0.09576074,0.08022249,1.41795155e-01,3.23496888e-01,1.60626015e-01,8.30211821e-02
136,0.08726398,0.10949868,0.07670248,0.07993807,0.09548357,0.08017584,1.41652426e-01,3.22576939e-01,1.59886737e-01,8.29146909e-02
137,0.08724927,0.10900867,0.07669324,0.08000946,0.09541478,0.08014188,1.41784112e-01,3.21425025e-01,1.59033496e-01,8.24607835e-02
138,0.08694249,0.10932377,0.07656373,0.07998281,0.09505520,0.08010862,1.42076624e-01,3.22006141e-01,1.57974901e-01,8.22012103e-02
139,0.08698369,0.10908211,0.07662797,0.07997291,0.09503583,0.08007870,1.41572908e-01,3.18453580e-01,1.57591210e-01,8.18602366e-02
140,0.08674833,0.10986211,0.07651360,0.08008909,0.09475771,0.08006729,1.42244083e-01,3.17512318e-01,1.56772863e-01,8.15683555e-02
141,0.08660708,0.10917077,0.07645990,0.07978796,0.09457609,0.08002327,1.42300928e-01,3.16449862e-01,1.56261178e-01,8.13313095e-02
142,0.08651096,0.10833242,0.07640638,0.07955769,0.09441520,0.07996385,1.41991374e-01,3.15567450e-01,1.55248363e-01,8.10603399e-02
143,0.08653912,0.10933814,0.07644597,0.07988066,0.09440153,0.07993889,1.42185765e-01,3.14529464e-01,1.54541234e-01,8.06364627e-02
144,0.08625988,0.10897471,0.07630842,0.07983302,0.09405851,0.07991406,1.42419741e-01,3.11571147e-01,1.53587889e-01,8.05454929e-02
145,0.08626741,0.10932356,0.07633183,0.07990814,0.09404144,0.07989695,1.42161025e-01,3.12730088e-01,1.53241625e-01,7.99390733e-02
146,0.08599779,0.10865747,0.07625497,0.07963357,0.09371898,0.07985609,1.42301211e-01,3.09973554e-01,1.52963256e-01,7.95020289e-02
147,0.08597436,0.10947936,0.07622853,0.07980204,0.09363690,0.07983419,1.42341680e-01,3.11632354e-01,1.51462086e-01,7.95517330e-02
148,0.08584752,0.10980863,0.07615224,0.08016998,0.09345917,0.07985012,1.42574708e-01,3.07623968e-01,1.50812088e-01,7.91328880e-02
149,0.08580755,0.10928714,0.07612324,0.07986661,0.09338383,0.07983804,1.42504283e-01,3.08058460e-01,1.50318863e-01,7.88767316e-02
150,0.08569429,0.10891326,0.07608931,0.08000712,0.09322263,0.07983730,1.42584945e-01,3.04852840e-01,1.49937385e-01,7.84370353e-02
151,0.08551610,0.10821724,0.07604567,0.07955401,0.09301395,0.07979281,1.43119422e-01,3.06461484e-01,1.48784690e-01,7.82213551e-02
152,0.08530307,0.10893319,0.07593030,0.07975769,0.09274348,0.07977107,1.43016518e-01,3.01859986e-01,1.48480485e-01,7.80187070e-02
153,0.08539399,0.10908618,0.07599403,0.07987638,0.09276853,0.07976926,1.42871828e-01,3.02056911e-01,1.47338921e-01,7.77464024e-02
154,0.08519944,0.10953140,0.07589519,0.07990338,0.09255335,0.07976677,1.42750426e-01,3.02379023e-01,1.47105792e-01,7.71445649e-02
155,0.08506468,0.10945008,0.07583291,0.07994392,0.09238545,0.07976974,1.43003116e-01,2.99734141e-01,1.46611406e-01,7.69858013e-02
156,0.08506504,0.10920960,0.07583074,0.08010920,0.09232103,0.07978499,1.43212128e-01,2.97116599e-01,1.45759106e-01,7.65675932e-02
157,0.08485843,0.10902376,0.07578313,0.07995601,0.09206965,0.07978633,1.43214141e-01,2.95127544e-01,1.45361648e-01,7.64978182e-02
158,0.08482771,0.10862249,0.07574789,0.07998138,0.09199501,0.07979238,1.43142313e-01,2.93358704e-01,1.44751515e-01,7.61174219e-02
159,0.08491985,0.10827212,0.07578608,0.07974311,0.09203138,0.07976902,1.43005836e-01,2.92988107e-01,1.43771904e-01,7.57301637e-02
160,0.08483275,0.10888290,0.07577091,0.07978418,0.09191151,0.07975904,1.43198922e-01,2.92365538e-01,1.43208046e-01,7.54638418e-02
161,0.08464334,0.10921961,0.07566410,0.07991667,0.09168962,0.07975712,1.43891575e-01,2.90542248e-01,1.42592858e-01,7.47964281e-02
162,0.08434159,0.10817912,0.07554069,0.07954225,0.09134126,0.07972007,1.43692396e-01,2.88001299e-01,1.42153306e-01,7.46406699e-02
163,0.08452635,0.10831766,0.07565430,0.07967387,0.09147331,0.07970437,1.43297603e-01,2.88240331e-01,1.41138050e-01,7.45103214e-02
164,0.08413348,0.10865347,0.07545557,0.07960545,0.09104956,0.07968715,1.44016703e-01,2.86183748e-01,1.40223120e-01,7.45239171e-02
165,0.08416308,0.10873480,0.07550849,0.07988161,0.09104020,0.07969138,1.43825002e-01,2.85124331e-01,1.39819607e-01,7.39370585e-02
166,0.08427459,0.10894057,0.07550935,0.07995846,0.09111592,0.07970507,1.43804653e-01,2.85926560e-01,1.39172534e-01,7.36745513e-02
167,0.08409755,0.10921361,0.07545059,0.07978928,0.09089226,0.07969554,1.44122720e-01,2.81901038e-01,1.38649704e-01,7.33724481e-02
