epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
105,0.09654369,0.80691473,0.08264059,0.09059440,0.53610126,9.83937707e-02,6.30882130e-02,8.06365247e-02,2.64982971e-02
106,0.09655376,0.80785420,0.08264408,0.09046426,0.53652410,9.85506006e-02,6.33497972e-02,8.04051832e-02,2.66209698e-02
107,0.09646535,0.80801890,0.08260341,0.09065471,0.53666545,9.86164422e-02,6.42249486e-02,8.04730905e-02,2.68552335e-02
108,0.09646154,0.80642288,0.08262278,0.09048752,0.53634800,9.84076898e-02,6.42347421e-02,8.07496879e-02,2.69257938e-02
109,0.09633787,0.80857896,0.08256424,0.09078748,0.53619016,9.86356842e-02,6.40624205e-02,8.05186705e-02,2.66130496e-02
110,0.09614289,0.81070833,0.08248381,0.09090774,0.53514956,9.86514502e-02,6.36069656e-02,8.06698556e-02,2.66099931e-02
111,0.09600919,0.81049871,0.08243616,0.09079118,0.53530359,9.94713651e-02,6.39134875e-02,8.07163862e-02,2.68167497e-02
112,0.09591485,0.81034019,0.08242237,0.09079955,0.53448333,9.91055076e-02,6.35588782e-02,8.05845248e-02,2.65909085e-02
113,0.09570698,0.81178109,0.08236166,0.09098093,0.53391726,9.92880082e-02,6.43979822e-02,8.09071295e-02,2.67634417e-02
114,0.09579492,0.81221312,0.08236413,0.09094292,0.53413900,9.92494117e-02,6.41260089e-02,8.09219795e-02,2.67922456e-02
115,0.09565166,0.81225825,0.08233710,0.09090237,0.53349834,9.90922770e-02,6.38745477e-02,8.07300007e-02,2.65357595e-02
116,0.09554063,0.81161437,0.08228186,0.09092345,0.53355098,9.93742332e-02,6.36956527e-02,8.07808563e-02,2.66627332e-02
117,0.09579906,0.81210472,0.08239015,0.09091562,0.53403533,9.93051602e-02,6.32770400e-02,8.08041241e-02,2.66316005e-02
118,0.09569644,0.81202363,0.08234449,0.09092958,0.53375080,9.90666339e-02,6.38538670e-02,8.05275966e-02,2.68618262e-02
119,0.09559248,0.81217137,0.08228270,0.09095498,0.53355324,9.92255577e-02,6.37418233e-02,8.06808571e-02,2.69810016e-02
120,0.09550968,0.81226058,0.08226773,0.09096578,0.53293811,9.91895404e-02,6.35631983e-02,8.07556192e-02,2.68522460e-02
121,0.09558002,0.81579421,0.08232195,0.09119873,0.53383242,9.94464334e-02,6.39019929e-02,8.06957627e-02,2.67424951e-02
122,0.09557007,0.81358379,0.08228375,0.09106384,0.53394810,9.97012691e-02,6.41797087e-02,8.07280704e-02,2.71239574e-02
123,0.09548957,0.81510486,0.08224833,0.09116076,0.53331308,9.97681082e-02,6.38657171e-02,8.07603644e-02,2.71336606e-02
124,0.09521741,0.81732704,0.08221443,0.09132347,0.53243963,1.00037681e-01,6.38525775e-02,8.08983001e-02,2.71234928e-02
125,0.09513135,0.81575229,0.08213009,0.09115802,0.53245403,9.99387018e-02,6.37875559e-02,8.07601133e-02,2.73077653e-02
126,0.09500148,0.81779822,0.08206852,0.09146553,0.53224578,9.98492884e-02,6.39990253e-02,8.06976656e-02,2.71501941e-02
127,0.09492003,0.81736891,0.08201606,0.09151090,0.53213238,1.00488175e-01,6.39163643e-02,8.07678511e-02,2.72447762e-02
128,0.09496712,0.81791338,0.08208200,0.09145819,0.53195380,1.00233797e-01,6.39180152e-02,8.06021913e-02,2.70646721e-02
129,0.09487215,0.81793402,0.08201574,0.09148834,0.53160693,1.00098690e-01,6.39673036e-02,8.06381719e-02,2.72528205e-02
