n,arch,status,test_rmse,elapsed_sec,activation,batch_size,coriolis_hidden,coriolis_matrix_form,coriolis_structural,correction_dropout,correction_gain_ramp_frac,correction_reg_inertia_normalize,data_train_fraction,data_train_seed,dropout,early_stop_metric,early_stopping,ema_decay,enable_passivity_loss,epochs,feature_noise_std,friction_form,friction_hidden,grad_clip_norm,gravity_hidden,hidden_layers,inertia_hidden,inertia_psd,joint_loss_weights,lambda_correction_decay,lambda_correction_reg,lambda_correction_reg_per_component,lambda_passivity,learning_rate,lr_scheduler,min_delta,optimizer,patience,phi_lr_ratio,physics_warmup_fraction,physics_weight,print_every,seed,snapshot_every,spectral_norm,stride,torch_compile,torch_compile_mode,use_friction_qdd,use_phys_cond,warmup_cosine_min_factor,weight_decay
47,edr,ok,0.067791,0.0,silu,256,32-32,False,False,0.15,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.005,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,True,True,0.05,0.002
48,edr,ok,0.067823,0.0,silu,256,32-32,False,False,0.15,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.1,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,False,True,0.05,0.002
49,edr,ok,0.06791,0.0,silu,256,32-32,False,False,0.15,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.002,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,True,True,0.05,0.002
50,edr,ok,0.068051,0.0,silu,256,32-32,False,False,0.05,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.1,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,False,True,0.05,0.002
51,edr,ok,0.06808,0.0,silu,256,48-48,False,False,0.05,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.05,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,True,True,0.05,0.002
52,edr,ok,0.068182,0.0,silu,256,32-32,False,False,0.05,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.2,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,False,True,0.05,0.002
53,edr,ok,0.067664,0.0,silu,256,32-32,False,False,0.05,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.002,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,True,True,0.05,0.002
54,edr,ok,0.066692,0.0,silu,256,32-32,False,False,0.05,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.005,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,True,True,0.05,0.002
55,edr,ok,0.065466,0.0,silu,256,32-32,False,False,0.05,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.01,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,True,True,0.05,0.002
56,edr,ok,0.066602,0.0,silu,256,48-48,False,False,0.05,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.02,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,True,True,0.05,0.002
57,edr,ok,0.064476,0.0,silu,256,48-48,False,False,0.05,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.002,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,True,True,0.05,0.002
58,edr,ok,0.064619,0.0,silu,256,32-32,False,False,0.05,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.002,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2.0,42,0,False,1,False,default,False,True,0.05,0.002
