epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
106,0.12046335,0.11822475,0.08959386,0.08305405,0.12883233,0.08371952,1.05053982e-01,3.33195603e-01,1.69440327e-01,9.08945159e-02
107,0.12058649,0.11787687,0.08963144,0.08289593,0.12889519,0.08363119,1.05514387e-01,3.33199015e-01,1.69249099e-01,9.06442674e-02
108,0.12007404,0.11766106,0.08946769,0.08284148,0.12834615,0.08354727,1.04471833e-01,3.33983939e-01,1.69254100e-01,9.02426634e-02
109,0.12001066,0.11742968,0.08940969,0.08272323,0.12816468,0.08345920,1.04788814e-01,3.28408170e-01,1.67725659e-01,8.97344120e-02
110,0.11952092,0.11751800,0.08930481,0.08283879,0.12777523,0.08339036,1.05875002e-01,3.34316503e-01,1.68844147e-01,8.99574005e-02
111,0.11963963,0.11706988,0.08932681,0.08263576,0.12776999,0.08330959,1.05633389e-01,3.29133094e-01,1.67426039e-01,8.97529148e-02
112,0.11911469,0.11657053,0.08914009,0.08236870,0.12734420,0.08320928,1.06375226e-01,3.30652677e-01,1.67996192e-01,9.00985128e-02
113,0.11909806,0.11657834,0.08914289,0.08243092,0.12714349,0.08312551,1.04603525e-01,3.24635107e-01,1.66739298e-01,8.91614542e-02
114,0.11893670,0.11658915,0.08912208,0.08243986,0.12701725,0.08305050,1.06272256e-01,3.25109628e-01,1.67843953e-01,8.90998282e-02
115,0.11867852,0.11602727,0.08900523,0.08230289,0.12666102,0.08296868,1.05347347e-01,3.24997811e-01,1.65943692e-01,8.93656858e-02
116,0.11873662,0.11613053,0.08901992,0.08222954,0.12669180,0.08288999,1.05586393e-01,3.23352080e-01,1.65286004e-01,8.84740311e-02
117,0.11832018,0.11597121,0.08889435,0.08232603,0.12624506,0.08282555,1.06208207e-01,3.24234787e-01,1.64692174e-01,8.84266505e-02
118,0.11780354,0.11544904,0.08873250,0.08206585,0.12571497,0.08274472,1.06181950e-01,3.26983083e-01,1.64494193e-01,8.82467758e-02
119,0.11779968,0.11534427,0.08876523,0.08205621,0.12566563,0.08267076,1.07171479e-01,3.19432522e-01,1.64315322e-01,8.74497571e-02
120,0.11797945,0.11559621,0.08876870,0.08210444,0.12571724,0.08260778,1.06896439e-01,3.18969670e-01,1.62787475e-01,8.74189774e-02
121,0.11776326,0.11513405,0.08870445,0.08199557,0.12547493,0.08254218,1.06050667e-01,3.17472299e-01,1.62299363e-01,8.74846545e-02
122,0.11728499,0.11497243,0.08858694,0.08194381,0.12499797,0.08247492,1.07467704e-01,3.18415683e-01,1.62113604e-01,8.74066411e-02
123,0.11693652,0.11519746,0.08846726,0.08197495,0.12459393,0.08241802,1.05831780e-01,3.15259071e-01,1.61533374e-01,8.75718726e-02
124,0.11719124,0.11579667,0.08853448,0.08209283,0.12476583,0.08237691,1.06932574e-01,3.13961126e-01,1.60556894e-01,8.65823573e-02
125,0.11681705,0.11479940,0.08838361,0.08188629,0.12434991,0.08232213,1.07141336e-01,3.07961756e-01,1.60053334e-01,8.66538270e-02
126,0.11655454,0.11475669,0.08834001,0.08182731,0.12407040,0.08226639,1.07824849e-01,3.13001263e-01,1.59359724e-01,8.65030917e-02
127,0.11652409,0.11430806,0.08831065,0.08167851,0.12393837,0.08220062,1.07475019e-01,3.07620565e-01,1.58341539e-01,8.60890073e-02
128,0.11640578,0.11420199,0.08831047,0.08173080,0.12379877,0.08214666,1.07258390e-01,3.06520499e-01,1.58236139e-01,8.56540387e-02
129,0.11618531,0.11422862,0.08819991,0.08163586,0.12350498,0.08209060,1.07574774e-01,3.09690909e-01,1.56916699e-01,8.50214830e-02
130,0.11631027,0.11411750,0.08820479,0.08169763,0.12356779,0.08204360,1.07637746e-01,3.01482236e-01,1.56623367e-01,8.53056987e-02
131,0.11582096,0.11430412,0.08804359,0.08162066,0.12305936,0.08199533,1.07340217e-01,3.03724973e-01,1.56509314e-01,8.50269396e-02
132,0.11573056,0.11410656,0.08804462,0.08168745,0.12288448,0.08195886,1.07902501e-01,3.05464027e-01,1.54141042e-01,8.49261745e-02
133,0.11601966,0.11377779,0.08814423,0.08149043,0.12313191,0.08190474,1.07132096e-01,3.00031003e-01,1.54831488e-01,8.47953304e-02
134,0.11573270,0.11349298,0.08804988,0.08148303,0.12279568,0.08185668,1.08110433e-01,2.99973028e-01,1.53517771e-01,8.47283555e-02
135,0.11556480,0.11390087,0.08805614,0.08155816,0.12259476,0.08182144,1.08034923e-01,2.97483915e-01,1.53218984e-01,8.41405245e-02
136,0.11524002,0.11331790,0.08794420,0.08141635,0.12219187,0.08177451,1.07641888e-01,2.98760082e-01,1.52140735e-01,8.38140813e-02
137,0.11540329,0.11361386,0.08798758,0.08155732,0.12231500,0.08174469,1.07813580e-01,2.96092343e-01,1.51702832e-01,8.36595169e-02
138,0.11517606,0.11370528,0.08792710,0.08153656,0.12203524,0.08171759,1.08759693e-01,2.94004646e-01,1.50628495e-01,8.35348840e-02
139,0.11532788,0.11304684,0.08791872,0.08137536,0.12205179,0.08167679,1.07914013e-01,2.91773188e-01,1.48766247e-01,8.30758999e-02
140,0.11485718,0.11316468,0.08772934,0.08125979,0.12163362,0.08162763,1.08847079e-01,2.90431207e-01,1.49680527e-01,8.33762789e-02
