epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
92,0.10997242,0.11898459,0.08683706,0.08330868,0.11082089,0.09002600,0.08342488,1.25381524e-01,1.79185037e-01,1.23949947e-01,4.24850787e-02
93,0.11010121,0.11888638,0.08687243,0.08332095,0.11093906,0.08997447,0.08341175,1.23892649e-01,1.80717464e-01,1.22862267e-01,4.30093777e-02
94,0.10981863,0.11892492,0.08682216,0.08331956,0.11066344,0.09004244,0.08340029,1.25545797e-01,1.80569965e-01,1.22990271e-01,4.26924847e-02
95,0.10946037,0.11887480,0.08669337,0.08330658,0.11031406,0.08995428,0.08338883,1.26234536e-01,1.82017754e-01,1.23310227e-01,4.22685071e-02
96,0.10982558,0.11868047,0.08682160,0.08317378,0.11067597,0.08988421,0.08336433,1.24698504e-01,1.81885130e-01,1.24178488e-01,4.21749756e-02
97,0.11019771,0.11873078,0.08690851,0.08330305,0.11104709,0.08983737,0.08335499,1.25543690e-01,1.81248322e-01,1.23624936e-01,4.18851438e-02
98,0.10947836,0.11866091,0.08677173,0.08330601,0.11033192,0.09001927,0.08334733,1.25736932e-01,1.82632136e-01,1.23754368e-01,4.20315105e-02
99,0.10963444,0.11874602,0.08670595,0.08326606,0.11048711,0.08992646,0.08333672,1.26093349e-01,1.80809703e-01,1.23828567e-01,4.19902723e-02
100,0.10913165,0.11876132,0.08656086,0.08332840,0.10998648,0.08987006,0.08333252,1.25704972e-01,1.83113231e-01,1.24085264e-01,4.19635647e-02
101,0.10934934,0.11871040,0.08667455,0.08329285,0.11020645,0.08990525,0.08332584,1.26090169e-01,1.83430050e-01,1.23986808e-01,4.22358926e-02
102,0.10890852,0.11871829,0.08654978,0.08332118,0.10976307,0.08987160,0.08332288,1.25707820e-01,1.83314496e-01,1.24157992e-01,4.12728167e-02
103,0.10896686,0.11874377,0.08657847,0.08329398,0.10982767,0.08985239,0.08331771,1.26537744e-01,1.84787808e-01,1.23896188e-01,4.17472977e-02
104,0.10913574,0.11852219,0.08662762,0.08323779,0.10999164,0.08985869,0.08330794,1.26065834e-01,1.84434405e-01,1.24130175e-01,4.11434674e-02
105,0.10859543,0.11854069,0.08644509,0.08327093,0.10945274,0.08973328,0.08330202,1.26611947e-01,1.81997276e-01,1.23812231e-01,4.12952257e-02
106,0.10871822,0.11848675,0.08650046,0.08318943,0.10958410,0.08974057,0.08328873,1.27315537e-01,1.81874655e-01,1.24536077e-01,4.19299380e-02
107,0.10839881,0.11860643,0.08629986,0.08326437,0.10925454,0.08980476,0.08328494,1.26412977e-01,1.84064459e-01,1.23924927e-01,4.24371919e-02
108,0.10858549,0.11860379,0.08635045,0.08320986,0.10944715,0.08973182,0.08327450,1.27166636e-01,1.84397248e-01,1.23990001e-01,4.16728459e-02
109,0.10849594,0.11839061,0.08639358,0.08322519,0.10935842,0.08968517,0.08326713,1.26961157e-01,1.82359342e-01,1.24409253e-01,4.15075107e-02
110,0.10892047,0.11849989,0.08645137,0.08319248,0.10977998,0.08962451,0.08325783,1.26556802e-01,1.82916247e-01,1.24026997e-01,4.19380036e-02
111,0.10855484,0.11849733,0.08637341,0.08319613,0.10941715,0.08964323,0.08324969,1.26872258e-01,1.84265853e-01,1.24302589e-01,4.12775164e-02
